V1	V2	Cluster
PF3D7_0211100	conserved Plasmodium protein, unknown function	115
PF3D7_0211200	ras-related protein Rab-5A	16
PF3D7_0211300	ubiquinol-cytochrome-c reductase complex assembly factor 1, putative	116
PF3D7_0211400	beta-ketoacyl-ACP synthase III	46
PF3D7_0211500	GAF domain-related protein, putative	10
PF3D7_0211600	UDP-N-acetylglucosamine transferase subunit ALG14, putative	18
PF3D7_0211700	tyrosine kinase-like protein, putative	117
PF3D7_0211800	asparagine--tRNA ligase	12
PF3D7_0211900	conserved Plasmodium protein, unknown function	41
PF3D7_0212000	GDP-fructose:GMP antiporter, putative	118
PF3D7_0212100	conserved Plasmodium protein, unknown function	109
PF3D7_0212200	ribosomal protein L12, mitochondrial, putative	119
PF3D7_0212300	peptide chain release factor subunit 1, putative	97
PF3D7_0212400	conserved Plasmodium membrane protein, unknown function	120
PF3D7_0212500	conserved Plasmodium protein, unknown function	65
PF3D7_0212600	secreted protein with altered thrombospondin repeat domain	5
PF3D7_0212700	SRR1-like protein	121
PF3D7_0212800	multidrug efflux pump, putative	122
PF3D7_0212900	arginyl-tRNA--protein transferase	123
PF3D7_0213000	conserved Plasmodium protein, unknown function	37
PF3D7_0213100	protein SIS1	70
PF3D7_0213200	conserved Plasmodium protein, unknown function	48
PF3D7_0213400	protein kinase 7	58
PF3D7_0213500	tetratricopeptide repeat protein, putative	48
PF3D7_0213600	conserved Plasmodium protein, unknown function	124
PF3D7_0213700	conserved protein, unknown function	70
PF3D7_0213800	conserved Plasmodium protein, unknown function	43
PF3D7_0213900	conserved Plasmodium protein, unknown function	39
PF3D7_0214000	T-complex protein 1 subunit theta	100
PF3D7_0214100	protein transport protein SEC31	4
PF3D7_0214200	mitochondrial ribosomal protein L13 precursor, putative	44
PF3D7_0214300	conserved Plasmodium protein, unknown function	67
PF3D7_0214400	conserved Plasmodium protein, unknown function	39
PF3D7_0214500	conserved Plasmodium protein, unknown function	49
PF3D7_0214600	serine/threonine protein kinase, putative	103
PF3D7_0214700	conserved Plasmodium protein, unknown function	103
PF3D7_0214800	conserved Plasmodium membrane protein, unknown function	100
PF3D7_0214900	rhoptry neck protein 6	106
PF3D7_0215000	acyl-CoA synthetase	125
PF3D7_0215100	RING zinc finger protein, putative	126
PF3D7_0215200	conserved Plasmodium protein, unknown function	127
PF3D7_0215300	acyl-CoA synthetase	81
PF3D7_0215400	conserved Plasmodium protein, unknown function	61
PF3D7_0215500	conserved Plasmodium protein, unknown function	128
PF3D7_0215600	conserved Plasmodium protein, unknown function	129
PF3D7_0215700	DNA-directed RNA polymerase II subunit RPB2, putative	100
PF3D7_0215800	origin recognition complex subunit 5	118
PF3D7_0215900	palmitoyltransferase DHHC11, putative	46
PF3D7_0216000	DEAD/DEAH box helicase, putative	130
PF3D7_0216300	conserved Plasmodium protein, unknown function	65
PF3D7_0216400	vacuolar protein sorting-associated protein 45, putative	10
PF3D7_0216500	conserved Plasmodium protein, unknown function	41
PF3D7_0216600	MtN3-like protein	23
PF3D7_0216700	autophagy-related protein 11, putative	132
PF3D7_0216800	TMEM121 domain-containing protein, putative	11
PF3D7_0216900	conserved Plasmodium protein, unknown function	133
PF3D7_0217000	conserved Plasmodium membrane protein, unknown function	62
PF3D7_0217100	ATP synthase F1, alpha subunit	10
PF3D7_0217200	conserved Plasmodium protein, unknown function	134
PF3D7_0217300	AP-2 complex subunit sigma, putative	135
PF3D7_0217400	conserved Plasmodium protein, unknown function	40
PF3D7_0217500	calcium-dependent protein kinase 1	103
PF3D7_0217600	conserved Plasmodium protein, unknown function	136
PF3D7_0217700	E2F-associated phosphoprotein, putative	25
PF3D7_0217800	40S ribosomal protein S26	9
PF3D7_0217900	conserved Plasmodium protein, unknown function	27
PF3D7_0218000	replication factor C subunit 2, putative	32
PF3D7_0218100	conserved Plasmodium membrane protein, unknown function	11
PF3D7_0218400	ATP-dependent RNA helicase DDX47, putative	137
PF3D7_0218500	small nuclear ribonucleoprotein Sm D2, putative	9
PF3D7_0218600	patatin-like phospholipase, putative	110
PF3D7_0218700	pre-mRNA-processing protein 45, putative	128
PF3D7_0219100	conserved protein, unknown function	69
PF3D7_0219200	40S ribosomal protein S30	9
PF3D7_0219300	conserved Plasmodium protein, unknown function	55
PF3D7_0219400	ribosome associated membrane protein RAMP4, putative, unspecified product	51
PF3D7_0219500	pseudouridine synthase, putative	32
PF3D7_0219600	replication factor C subunit 1, putative	44
PF3D7_0219700	Plasmodium exported protein (PHISTc), unknown function	7
PF3D7_0219800	Plasmodium exported protein (PHISTc), unknown function	138
PF3D7_0219900	Plasmodium exported protein, unknown function	81
PF3D7_0220000	liver stage antigen 3	23
PF3D7_0220100	DnaJ protein, putative	139
PF3D7_0220200	Plasmodium exported protein, unknown function	70
PF3D7_0220300	Plasmodium exported protein, unknown function	70
PF3D7_0220400	DnaJ protein, putative, pseudogene	66
PF3D7_0220500	Plasmodium exported protein (hyp2), unknown function	140
PF3D7_0220600	Plasmodium exported protein (hyp9), unknown function	70
PF3D7_0220700	Plasmodium exported protein (hyp9), unknown function	45
PF3D7_0220800	cytoadherence linked asexual protein 2	5
PF3D7_0220900	Plasmodium exported protein, unknown function, pseudogene	23
PF3D7_0221000	Plasmodium exported protein, unknown function	141
PF3D7_0221200	Plasmodium exported protein (hyp15), unknown function	70
PF3D7_0221500	Pfmc-2TM Maurer's cleft two transmembrane protein, pseudogene	142
PF3D7_0221600	Plasmodium exported protein, unknown function, pseudogene	143
PF3D7_0221700	Plasmodium exported protein, unknown function	23
PF3D7_0222100	Pfmc-2TM Maurer's cleft two transmembrane protein	2
PF3D7_0301000	acyl-CoA synthetase	4
PF3D7_0301100	Plasmodium exported protein (hyp13), unknown function	144
PF3D7_0301200	serine/threonine protein kinase, FIKK family	81
PF3D7_0301300	epoxide hydrolase 1	145
PF3D7_0301400	Plasmodium exported protein, unknown function	19
PF3D7_0301500	Plasmodium exported protein, unknown function	13
PF3D7_0301600	Plasmodium exported protein (hyp1), unknown function	66
PF3D7_0301700	Plasmodium exported protein, unknown function	70
PF3D7_0301800	Plasmodium exported protein, unknown function	7
PF3D7_0301900	conserved Plasmodium protein, unknown function	146
PF3D7_0302000	pre-mRNA-splicing factor PRP46, putative	131
PF3D7_0302100	serine/threonine protein kinase	147
PF3D7_0302200	cytoadherence linked asexual protein 3.2	148
PF3D7_0302500	cytoadherence linked asexual protein 3.1	5
PF3D7_0302600	ABC transporter B family member 4, putative	32
PF3D7_0302700	CDGSH iron-sulfur domain-containing protein, putative	116
PF3D7_0302800	conserved Plasmodium protein, unknown function	39
PF3D7_0302900	exportin-1, putative	122
PF3D7_0303000	N-ethylmaleimide-sensitive fusion protein	149
PF3D7_0303100	conserved Plasmodium protein, unknown function	126
PF3D7_0303200	HAD superfamily protein, putative	150
PF3D7_0303300	DNA-directed RNA polymerases I, II, and III subunit RPABC2, putative	139
PF3D7_0303400	palmitoyltransferase DHHC1	10
PF3D7_0303500	spindle pole body protein, putative	134
PF3D7_0303700	lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex	32
PF3D7_0303800	IBR domain protein, putative	134
PF3D7_0303900	phosphatidylethanolamine-binding protein, putative	130
PF3D7_0304000	inner membrane complex protein 1a, putative	151
PF3D7_0304100	inner membrane complex protein 1e, putative	14
PF3D7_0304200	EH domain-containing protein	7
PF3D7_0304300	conserved Plasmodium protein, unknown function	8
PF3D7_0304400	60S ribosomal protein L44	9
PF3D7_0304500	1-cys-glutaredoxin-like protein-1	75
PF3D7_0304600	circumsporozoite (CS) protein	46
PF3D7_0304700	conserved Plasmodium protein, unknown function	43
PF3D7_0304800	conserved Plasmodium membrane protein, unknown function	41
PF3D7_0304900	conserved Plasmodium protein, unknown function	152
PF3D7_0305000	elongation factor Ts	16
PF3D7_0305100	conserved Plasmodium protein, unknown function	32
PF3D7_0305200	conserved Plasmodium protein, unknown function	149
PF3D7_0305300	conserved Plasmodium membrane protein, unknown function	23
PF3D7_0305400	conserved Plasmodium protein, unknown function	153
PF3D7_0305500	conserved Plasmodium protein, unknown function	154
PF3D7_0305600	AP endonuclease (DNA-[apurinic or apyrimidinic site] lyase), putative	37
PF3D7_0305700	ubiquitin-conjugating enzyme E2, putative	149
PF3D7_0305800	P-loop containing nucleoside triphosphate hydrolase, putative	67
PF3D7_0305900	conserved Plasmodium protein, unknown function	155
PF3D7_0306000	conserved Plasmodium protein, unknown function	10
PF3D7_0306100	conserved Plasmodium protein, unknown function	136
PF3D7_0306200	activator of Hsp90 ATPase	35
PF3D7_0306300	glutaredoxin 1	64
PF3D7_0306400	FAD-dependent glycerol-3-phosphate dehydrogenase, putative	33
PF3D7_0306500	conserved Plasmodium protein, unknown function	10
PF3D7_0306600	conserved Plasmodium protein, unknown function	24
PF3D7_0306700	membrane magnesium transporter, putative	25
PF3D7_0306800	T-complex protein 1 subunit beta	25
PF3D7_0306900	40S ribosomal protein S23, putative	9
PF3D7_0307100	40S ribosomal protein S12, putative	9
PF3D7_0307200	60S ribosomal protein L7, putative	9
PF3D7_0307300	microtubule-associated protein RP/EB family, putative	18
PF3D7_0307400	ATP-dependent Clp protease proteolytic subunit	10
PF3D7_0307500	conserved protein, unknown function	37
PF3D7_0307600	conserved Plasmodium protein, unknown function	41
PF3D7_0307700	conserved Plasmodium protein, unknown function	156
PF3D7_0307800	conserved Plasmodium protein, unknown function	157
PF3D7_0307900	conserved Plasmodium protein, unknown function	121
PF3D7_0308000	DNA polymerase delta small subunit, putative	134
PF3D7_0308100	zinc finger protein, putative	148
PF3D7_0308200	T-complex protein 1 subunit eta	9
PF3D7_0308300	conserved Plasmodium protein, unknown function	103
PF3D7_0308500	activator of Hsp90 ATPase, putative	29
PF3D7_0308600	pre-mRNA-processing factor 19, putative	13
PF3D7_0308700	conserved Plasmodium protein, unknown function	103
PF3D7_0308800	conserved protein, unknown function	158
PF3D7_0308900	splicing factor 3B subunit 1, putative	131
PF3D7_0309000	dual specificity protein phosphatase	39
PF3D7_0309100	conserved Plasmodium protein, unknown function	133
PF3D7_0309200	serine/threonine protein kinase, putative	44
PF3D7_0309300	N2227-like protein, putative	125
PF3D7_0309500	asparagine synthetase [glutamine-hydrolyzing], putative	100
PF3D7_0309600	60S acidic ribosomal protein P2	9
PF3D7_0309700	SECIS-binding protein 2, putative	120
PF3D7_0309800	YTH domain-containing protein, putative	49
PF3D7_0309900	conserved Plasmodium protein, unknown function	89
PF3D7_0310000	50S ribosomal protein L9, apicoplast, putative	37
PF3D7_0310100	calcium-dependent protein kinase 3	153
PF3D7_0310200	phd finger protein, putative	4
PF3D7_0310300	phosphoglycerate mutase, putative	159
PF3D7_0310400	parasite-infected erythrocyte surface protein	33
PF3D7_0310500	ATP-dependent RNA helicase DHX57, putative	64
PF3D7_0310600	eukaryotic translation initiation factor 3 subunit K, putative, unspecified product	49
PF3D7_0310700	trafficking protein particle complex subunit 4, putative	141
PF3D7_0310800	conserved Plasmodium protein, unknown function	141
PF3D7_0310900	conserved Plasmodium protein, unknown function	27
PF3D7_0311000	conserved Plasmodium protein, unknown function	38
PF3D7_0311100	pre-mRNA splicing factor, putative	152
PF3D7_0311200	valine--tRNA ligase, putative	61
PF3D7_0311300	phosphatidylinositol 3- and 4-kinase, putative	10
PF3D7_0311400	protein kinase, putative	43
PF3D7_0311500	conserved Plasmodium protein, unknown function	81
PF3D7_0311600	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1, putative	15
PF3D7_0311700	plasmepsin VI	95
PF3D7_0311800	conserved protein, unknown function	10
PF3D7_0311900	conserved Plasmodium protein, unknown function	160
PF3D7_0312000	conserved Plasmodium protein, unknown function	48
PF3D7_0312100	E3 ubiquitin-protein ligase	10
PF3D7_0312200	tetratricopeptide repeat protein, putative	133
PF3D7_0312300	26S proteasome regulatory subunit RPN12, putative	35
PF3D7_0312400	glycogen synthase kinase 3	156
PF3D7_0312500	major facilitator superfamily-related transporter, putative	83
PF3D7_0312800	60S ribosomal protein L26, putative	9
PF3D7_0312900	hypothetical protein	84
PF3D7_0313000	conserved Plasmodium protein, unknown function	97
PF3D7_0313100	ubiquitin-protein ligase, putative	96
PF3D7_0313200	conserved Plasmodium protein, unknown function	161
PF3D7_0313400	conserved Plasmodium protein, unknown function	162
PF3D7_0313500	Ras-like G protein	26
PF3D7_0313600	conserved Plasmodium protein, unknown function	32
PF3D7_0313700	conserved Plasmodium protein, unknown function, unspecified product	44
PF3D7_0313800	conserved Plasmodium protein, unknown function	58
PF3D7_0313900	conserved Plasmodium protein, unknown function	153
PF3D7_0314000	HSP20-like chaperone, putative	37
PF3D7_0314100	vesicle transport v-SNARE protein, putative	163
PF3D7_0314400	serine/threonine protein phosphatase 6, putative	70
PF3D7_0314500	conserved Plasmodium protein, unknown function	65
PF3D7_0314600	conserved Plasmodium protein, unknown function	70
PF3D7_0314700	RING finger protein RNF1	112
PF3D7_0314800	conserved Plasmodium protein, unknown function	164
PF3D7_0314900	conserved Plasmodium membrane protein, unknown function	27
PF3D7_0315000	zinc finger protein, putative	28
PF3D7_0315100	eukaryotic translation initiation factor 4E	4
PF3D7_0315200	circumsporozoite- and TRAP-related protein	95
PF3D7_0315300	conserved Plasmodium protein, unknown function	165
PF3D7_0315400	conserved Plasmodium protein, unknown function	16
PF3D7_0315500	mitochondrial ribosomal protein L29/L47 precursor, putative	92
PF3D7_0315600	zinc finger protein, putative	92
PF3D7_0315700	conserved Plasmodium membrane protein, unknown function	107
PF3D7_0315800	zinc finger protein, putative	100
PF3D7_0315900	conserved Plasmodium protein, unknown function	74
PF3D7_0316000	microneme associated antigen	103
PF3D7_0316100	mitochondrial ribosomal protein L27 precursor, putative	95
PF3D7_0316200	conserved Plasmodium protein, unknown function	33
PF3D7_0316300	inorganic pyrophosphatase, inorganic pyrophosphatase, putative	33
PF3D7_0316400	conserved Plasmodium protein, unknown function	166
PF3D7_0316500	kinetochore protein NUF2, putative	32
PF3D7_0316600	formate-nitrite transporter	70
PF3D7_0316700	protein YOP1, putative	140
PF3D7_0316800	40S ribosomal protein S15A, putative	9
PF3D7_0316900	E3 ubiquitin-protein ligase, putative	7
PF3D7_0317000	proteasome subunit alpha type-3, putative	50
PF3D7_0317100	6-cysteine protein	167
PF3D7_0317200	cdc2-related protein kinase 4	156
PF3D7_0317300	conserved Plasmodium protein, unknown function	120
PF3D7_0317400	DNA replication complex GINS protein, putative	116
PF3D7_0317500	kinesin-5	168
PF3D7_0317600	40S ribosomal protein S11, putative	25
PF3D7_0317700	CPSF (cleavage and polyadenylation specific factor), subunit A, putative	98
PF3D7_0317800	26S proteasome non-ATPase regulatory subunit 9, putative	12
PF3D7_0317900	conserved Plasmodium protein, unknown function	96
PF3D7_0318000	conserved Plasmodium protein, unknown function	130
PF3D7_0318100	stomatin-like protein	61
PF3D7_0318200	DNA-directed RNA polymerase II subunit RPB1	61
PF3D7_0318300	conserved Plasmodium protein, unknown function	169
PF3D7_0318400	conserved Plasmodium protein, unknown function	95
PF3D7_0318500	conserved Plasmodium protein, unknown function	18
PF3D7_0318600	cleavage and polyadenylation specificity factor, putative	76
PF3D7_0318700	conserved Plasmodium protein, unknown function	103
PF3D7_0318800	triosephosphate isomerase, putative	170
PF3D7_0318900	conserved protein, unknown function	109
PF3D7_0319000	P-type ATPase, putative	156
PF3D7_0319100	E3 ubiquitin-protein ligase RBX1, putative	56
PF3D7_0319200	endonuclease/exonuclease/phosphatase family protein, putative	100
PF3D7_0319300	ubiquitin-conjugating enzyme E2, putative	61
PF3D7_0319400	kinesin-8, putative	10
PF3D7_0319500	RNA-binding protein, putative	171
PF3D7_0319600	elongation factor 1-delta, putative	39
PF3D7_0319700	ABC transporter I family member 1, putative	66
PF3D7_0319800	conserved Plasmodium protein, unknown function	172
PF3D7_0319900	conserved Plasmodium protein, unknown function	147
PF3D7_0320000	protein phosphatase inhibitor 2	173
PF3D7_0320100	protein transport protein SEC22	169
PF3D7_0320200	CPW-WPC family protein	95
PF3D7_0320300	T-complex protein 1 subunit epsilon	9
PF3D7_0320400	oocyst capsule protein Cap380, putative	203
PF3D7_0320500	nicotinamidase, putative	140
PF3D7_0320600	conserved Plasmodium protein, unknown function	37
PF3D7_0320700	signal peptidase complex subunit SPC2, putative	37
PF3D7_0320800	ATP-dependent RNA helicase DDX6	24
PF3D7_0320900	histone H2A.Z	138
PF3D7_0321000	conserved Plasmodium protein, unknown function	70
PF3D7_0321100	conserved Plasmodium protein, unknown function	148
